id,name,adset_id,campaign_id,creative_id,status,effective_status,objective,created_time,amount_spent,impressions,reach,frequency,cpm,clicks,ctr,website_ctr,actions:link_click,cost_per_link_click,landing_page_view,results,results_value,cost_per_result.value,actions:omni_purchase,purchase_roas,video_thruplay_watched_actions,video_p25_watched_actions,video_p100_watched_actions,results.indicator,results.value
23856812927160689,AD-01,23856812927110689,23856812927060689,23856813058340689,ACTIVE,CAMPAIGN_PAUSED,LINK_CLICKS,2023-07-29T19:02:20-0300,"R$77,10 BRL",11396,7106,1.603715,"R$6,77 BRL",131,"1,15%",0.508951,58,"R$1,33 BRL",6,actions:onsite_conversion.messaging_conversation_started_7d,22,"R$3,50 BRL (Messaging conversations started)",1,,,,,,
120243096733700690,AD - Novo 07.04.26,120239568773410690,120239568773420690,1642114873608033,PAUSED,PAUSED,OUTCOME_SALES,2026-04-05T22:21:09-0300,"R$77,06 BRL",10682,5145,2.07619,"R$7,21 BRL",85,"0,80%",0.402546,43,"R$1,79 BRL",32,actions:offsite_conversion.fb_pixel_purchase,4,"R$19,27 BRL (Website purchases)",4,1.814171,174,766,133,,
120242540333200690,ADReels - GeRib,120225170496280690,120225170496270690,1318797193424764,ACTIVE,CAMPAIGN_PAUSED,OUTCOME_AWARENESS,2026-03-26T13:40:58-0300,"R$76,64 BRL",74323,56725,1.310234,"R$1,03 BRL",185,"0,25%",0.065928,49,"R$1,56 BRL",19,reach,56725,"R$1,35 BRL (Reach)",1,,728,549,46,,
120216285984110690,AD 08 (PREÇO),120214475387120690,120212792744250690,2719818525072611,ACTIVE,ADSET_PAUSED,OUTCOME_ENGAGEMENT,2025-02-21T14:10:04-0300,"R$74,33 BRL",11219,6859,1.635661,"R$6,63 BRL",83,"0,74%",0.356538,40,"R$1,86 BRL",4,actions:onsite_conversion.messaging_conversation_started_7d,14,"R$5,31 BRL (Messaging conversations started)",,,,,,,
120217686497890690,AD 07,120217686497960690,120215485413360690,532297633209154,ACTIVE,CAMPAIGN_PAUSED,OUTCOME_SALES,2025-03-14T17:21:37-0300,"R$73,18 BRL",11899,7823,1.521028,"R$6,15 BRL",168,"1,41%",0.72275,86,"R$0,85 BRL",46,actions:offsite_conversion.fb_pixel_purchase,2,"R$36,59 BRL (Website purchases)",2,139.327685,,,,,
120245681220300690,ADI - FoodPorn,120245681220290690,120233532885890690,35276806355298386,ACTIVE,ADSET_PAUSED,OUTCOME_SALES,2026-05-14T20:25:26-0300,"R$72,69 BRL",10816,10091,1.071846,"R$6,72 BRL",122,"1,13%",0.66568,72,"R$1,01 BRL",6,actions:onsite_conversion.messaging_conversation_started_7d,17,"R$4,28 BRL (Messaging conversations started)",,,,,,,
120201753065610690,AD - CUPOM,120201753065590690,120201753065600690,120201753755170690,ACTIVE,CAMPAIGN_PAUSED,OUTCOME_SALES,2023-12-06T16:09:56-0300,"R$75,00 BRL",15604,5564,2.804457,"R$4,81 BRL",119,"0,76%",0.320431,50,"R$1,50 BRL",33,actions:offsite_conversion.fb_pixel_purchase,4,"R$18,75 BRL (Website purchases)",4,0.767467,,,,,
120208291885700690,AD - Ge 2.0,120208291885670690,120203967962960690,120208034693830690,ACTIVE,ADSET_PAUSED,OUTCOME_AWARENESS,2024-04-17T14:52:34-0300,"R$72,08 BRL",59123,14033,4.21314,"R$1,22 BRL",76,"0,13%",0.069347,41,"R$1,76 BRL",,reach,14033,"R$5,14 BRL (Reach)",,,4,,,,
120209459063670690,AD - GÊ BOX,120208999670750690,120205274749610690,120209459158150690,ACTIVE,ADSET_PAUSED,OUTCOME_ENGAGEMENT,2024-05-21T12:20:31-0300,"R$71,68 BRL",10180,5982,1.701772,"R$7,04 BRL",183,"1,80%",0.6778,69,"R$1,04 BRL",8,actions:onsite_conversion.messaging_conversation_started_7d,9,"R$7,96 BRL (Messaging conversations started)",4,256.0226,2,1,,,
120212328431590690,POST - 20/07/24,120212327930300690,120212327930110690,120212328866730690,PAUSED,PAUSED,OUTCOME_ENGAGEMENT,2024-10-04T15:44:08-0300,"R$70,11 BRL",12246,7417,1.651072,"R$5,73 BRL",756,"6,17%",0.367467,45,"R$1,56 BRL",,actions:post_engagement,1806,"R$0,04 BRL (Post engagements)",,,,,,,
