id,name,campaign_id,status,effective_status,delivery.status,delivery.substatuses,optimization_goal,bid_strategy,daily_budget,lifetime_budget,start_time,created_time,updated_time,attribution_setting,amount_spent,impressions,reach,frequency,cpm,clicks,ctr,website_ctr,actions:link_click,cost_per_link_click,landing_page_view,results,results_value,cost_per_result.value,actions:omni_purchase,omni_purchase_values,purchase_roas,end_time,results.indicator,results.value
120210935506950690,[P. FRIO][SEMELHANTE IC][GEO 3KM],120203967962960690,ACTIVE,CAMPAIGN_PAUSED,inactive,"[""campaign_off""]",IMPRESSIONS,Highest volume,"R$15,01 BRL","R$0,00 BRL",2024-08-07T19:47:30-0300,2024-08-07T19:47:30-0300,2024-08-17T13:02:49-0300,1d_view_7d_click,"R$288,84 BRL",223166,45904,4.861581,"R$1,29 BRL",251,"0,11%",0.060045,134,"R$2,16 BRL",1,reach,45904,"R$6,29 BRL (Reach)",5,"R$484,00 BRL",1.675668,2024-09-08T00:00:00-0300,,
120209224436830690,[P. MORNO][21 a 43],120209223227360690,PAUSED,PAUSED,off,"[""off""]",OFFSITE_CONVERSIONS,,,,2024-05-15T14:28:11-0300,2024-05-15T14:28:11-0300,2024-07-10T17:05:17-0300,1d_view_7d_click,"R$278,00 BRL",38719,6351,6.09652,"R$7,18 BRL",538,"1,39%",0.565614,219,"R$1,27 BRL",156,actions:offsite_conversion.fb_pixel_purchase,51,"R$5,45 BRL (Website purchases)",51,"R$114.274,98 BRL",411.061079,2024-07-04T23:52:00-0300,,
120210345926670690,[P. MORNO][21 a 43],120210345926650690,PAUSED,PAUSED,off,"[""off""]",OFFSITE_CONVERSIONS,Highest volume,"R$0,00 BRL","R$450,00 BRL",2024-07-06T12:15:05-0300,2024-07-06T12:15:05-0300,2024-08-07T10:40:36-0300,1d_view_7d_click,"R$277,81 BRL",36593,7724,4.737571,"R$7,59 BRL",517,"1,41%",0.530156,194,"R$1,43 BRL",119,actions:offsite_conversion.fb_pixel_purchase,38,"R$7,31 BRL (Website purchases)",38,"R$101.236,90 BRL",364.410568,2024-08-16T23:23:00-0300,,
120224444858810690,[P. Direcionado][RAIO 5km],120224443839790690,ACTIVE,CAMPAIGN_PAUSED,inactive,"[""campaign_off""]",OFFSITE_CONVERSIONS,Highest volume,"R$0,00 BRL","R$300,00 BRL",2025-05-22T18:34:43-0300,2025-05-22T18:34:42-0300,2025-05-31T09:12:03-0300,1d_view_1d_click_1d_ev,"R$265,40 BRL",26573,14064,1.889434,"R$9,99 BRL",374,"1,41%",0.605878,161,"R$1,65 BRL",138,actions:offsite_conversion.fb_pixel_purchase,15,"R$17,69 BRL (Website purchases)",15,"R$51.719,10 BRL",194.872268,2025-05-31T23:00:00-0300,,
120200344064940690,[P. FRIO][ABERTO][GEO 1KM],120200344064960690,ACTIVE,CAMPAIGN_PAUSED,inactive,"[""campaign_off""]",REACH,Highest volume,"R$8,00 BRL","R$0,00 BRL",2023-11-03T20:13:38-0300,2023-11-03T20:13:38-0300,2023-11-22T16:34:35-0300,1d_view_7d_click,"R$262,27 BRL",78635,47556,1.653524,"R$3,34 BRL",759,"0,97%",0.115725,91,"R$2,88 BRL",,reach,47556,"R$5,51 BRL (Reach)",,,,2023-12-31T23:00:22-0300,,
120245517579380690,Post do Instagram: Quem é o @ que sempre fala...,120245517578580690,ACTIVE,CAMPAIGN_PAUSED,inactive,"[""campaign_off""]",VISIT_INSTAGRAM_PROFILE,,,,2026-05-12T15:18:58-0300,2026-05-12T15:18:31-0300,2026-05-12T15:18:49-0300,1d_view_7d_click,"R$260,05 BRL",68588,45674,1.501686,"R$3,79 BRL",667,"0,97%",0.976847,670,"R$0,39 BRL",3,profile_visit_view,665,"R$0,39 BRL (Instagram profile visits)",,,,2026-05-17T15:18:58-0300,,
120234828770950690,"Anúncio de Visitas ao perfil do Instagram: A GeBurger vai mudar o seu dia
Estamos te...",120234828770560690,ACTIVE,CAMPAIGN_PAUSED,inactive,"[""campaign_off""]",VISIT_INSTAGRAM_PROFILE,,,,2025-10-27T18:13:22-0300,2025-10-27T18:12:55-0300,2025-10-27T18:13:11-0300,1d_view_7d_click,"R$245,75 BRL",16324,10070,1.621053,"R$15,05 BRL",273,"1,67%",1.727518,282,"R$0,87 BRL",11,profile_visit_view,284,"R$0,87 BRL (Instagram profile visits)",,,,,,
120231518007060690,Instagram Post,120231518006910690,ACTIVE,CAMPAIGN_PAUSED,inactive,"[""campaign_off""]",VISIT_INSTAGRAM_PROFILE,,,,2025-09-02T21:05:01-0300,2025-09-02T21:04:31-0300,2025-09-02T21:05:19-0300,1d_view_7d_click,"R$245,78 BRL",38545,17665,2.181998,"R$6,38 BRL",287,"0,74%",0.752367,290,"R$0,85 BRL",4,profile_visit_view,299,"R$0,82 BRL (Instagram profile visits)",,,,2025-09-14T21:05:01-0300,,
120248478388860690,Post do Instagram: Esse é o GeBurger te chamando...,120248478388460690,ACTIVE,CAMPAIGN_PAUSED,inactive,"[""campaign_off""]",VISIT_INSTAGRAM_PROFILE,,,,2026-06-19T10:12:22-0300,2026-06-19T10:11:55-0300,2026-06-19T10:12:13-0300,1d_view_7d_click,"R$245,57 BRL",18812,11895,1.581505,"R$13,05 BRL",240,"1,28%",1.254518,236,"R$1,04 BRL",1,profile_visit_view,229,"R$1,07 BRL (Instagram profile visits)",,,,2026-06-26T10:12:22-0300,,
120237213159510690,ADV — Teste,120233532885890690,PAUSED,PAUSED,off,"[""off""]",CONVERSATIONS,Highest volume,"R$0,00 BRL","R$700,00 BRL",2025-12-07T12:02:52-0300,2025-12-07T12:02:52-0300,2025-12-19T13:19:31-0300,1d_view_7d_click,"R$240,58 BRL",18218,10882,1.674141,"R$13,21 BRL",258,"1,42%",0.636733,116,"R$2,07 BRL",17,actions:onsite_conversion.messaging_conversation_started_7d,42,"R$5,73 BRL (Messaging conversations started)",5,"R$94,50 BRL",0.392801,2026-01-04T23:45:00-0300,,
