id,nome,tipo,grupo_id,categoria_financeira_id,unidade_id,estoque_atual,custo_medio,controla_estoque,compoe_cmv,yield
6204826,Queijo Cheddar Schreiber,ingredient,352019,945362,110,0,0.55,Y,Y,0
6215030,Guaraná Zero 1L,ingredient,352014,945363,1,0,3.99,Y,Y,0
6215037,Coca Zero 1L,ingredient,352014,945363,1,-34,5.97,Y,Y,0
6218382,Hot Dog Prensado,datasheet,,,1,0,3.76825,N,N,1
6240431,Salsicha,ingredient,352015,945362,1,-32,0.7,Y,Y,0
6240435,Batata Palha,ingredient,352022,945362,4,-0.24,16,Y,Y,0
6240438,Molho de Tomate,ingredient,352020,945362,4,-0.32,8.33,Y,Y,0
6240442,Pão Hot Dog,ingredient,352021,945362,1,-16,2.5,Y,Y,0
6420952,Ge Box Prime,datasheet,,,1,0,7.991999999999999,N,N,1
6541531,Ge balls-Box Prime,datasheet,,,111,0,3.24,N,N,1
