id;nome;categoria;ativo;tipo;delivery;site;digital_menu;variacoes;descricao
24019011;Combo Ge Amazônico;Burger + Fritas + Refri!;Y;other;Y;Y;N;Único:51;Hambúrguer 130g, queijo coalho, geleia de cupuaçu, bacon em cubos, e maionese levemente apimentada no pão brioche de fermentação natural.
24149882;S - Ge Burger ;S - Smash;Y;other;N;N;N;Único:26;Smash burger de 130g (duas carnes, 65g cada), duas fatias de queijo cheddar e molho rosé no pão brioche de fermentação natural.
24149972;S - Ge Amazônico;S - Smash;Y;other;N;N;N;Único:39;A incrível combinação do nosso Smash burger 130g ( duas carnes, 65g cada), queijo coalho, geleia de cupuaçu, bacon em cubos, e maionese levemente apimentada no pão brioche de fermentação natural.
24149980;S - Ge Chicken;S - Smash;Y;other;N;N;N;Único:27;Frango empanado crocante, creme de cheddar, alface, tomate e maionese levemente apimentada no pão brioche de fermentação natural.
24150079;S - Batata Simples - Pequena;S - Entradas;Y;other;Y;N;N;Único:8;
24150222;S - Ge Rib;S - Smash;Y;other;N;N;N;Único:39;Smash burger de 130g (duas carnes, 65g cada), queijo mussarela, costela bovina desfiada, cebola caramelizada e maionese no pão brioche de fermentação natural.
24150231;S - Ge Onion;S - Smash;N;other;N;N;N;Único:38;Smash burger 130g ( duas carnes, 65g cada), duas fatias de queijo cheddar, onion rings, fatias de bacon e molho barbecue no pão brioche de fermentação natural.
24150238;S - Ge Cream;S - Smash;N;other;N;N;N;Único:45;Smash burger de 130g (duas carnes, 65g cada), queijo cheddar, Catupiry Original empanado no panko, alface e tomate, e maionese no pão brioche de fermentação natural.
24150249;S - Ge Classic;S - Smash;Y;other;N;N;N;Único:36;Smash burger de 130g, ( duas carnes 65g cada), duas fatias de queijo cheddar, cebola caramelizada, bacon em fatias e molho rosé no pão brioche de fermentação natural.
24150334;S - Ge Salad;S - Smash;Y;other;N;N;N;Único:32;Smash burger 130g (duas carnes, 65g cada), duas fatias de queijo cheddar, tomate, cebola roxa, alface e molho rosé no pão brioche de fermentação natural.
24150611;S - Ultra Burger;S - Ultra Smash;Y;other;N;N;N;Único:23;Smash burger de 100g ( duas carnes, 50g cada), creme de cheddar e molho rosê no pão brioche de fermentação natural.
24150621;S - Ge Kids ;S - Ultra Smash;Y;other;N;N;N;Único:19;
24150639;S - Ultra Salad;S - Ultra Smash;Y;other;N;N;N;Único:28;Smash burger 100g (duas carnes, 50g cada), creme de cheddar, tomate, cebola roxa, alface e molho rosé no pão brioche de fermentação natural.
24150660;S - Ultra Egg Bacon;S - Ultra Smash;Y;other;N;N;N;Único:31;Smash Burger de 100g ( duas carnes, 50g cada), creme de cheddar, ovo frito, fatias de bacon e maionese no pão brioche de fermentação natural.
24150684;S - Ge Box;S - Ge Box;Y;other;N;N;N;Único:59.9;Caixa com 6 mini burgers com smash de 40g cada nos sabores burger, classic, salad e bacon + 3 molhos para acompanhar.
24150809;S - Fritas Melted- Grande;S - Entradas;Y;other;N;N;N;Único:28;Porção de 250g (peso in natura) de batata-frita crocante, com queijo cheddar cremoso e farofa de bacon.
24150821;S - Gê Balls;S - Entradas;Y;other;N;N;N;Único:21;Porção de 05 bolinhas empanadas de frango desfiado com Catupiry Original e toque de cebolinha verde.
24150825;S - Gê Fritas;S - Entradas;Y;other;N;N;N;Único:16;Porção de 230g (peso in natura) de batata crocante.
24150863;Milkshake;S - Sobremesas;Y;other;N;N;N;Único:27;
24151194;S - Ge Burger - GANHOU;S - Smash;Y;other;N;N;N;Único:0;
24151330;2 Ultra Burger + Bebida #Promo;Promoções Ifood;Y;other;N;N;N;Único:56.9;
24151333;2 Ultra Egg Bacon + Bebida #Promo;Promoções Ifood;Y;other;N;N;N;Único:69.9;
24151336;Ge Box + Bebida #Promo;Promoções Ifood;Y;other;N;N;N;Único:69.9;
24151352;2 Ultra Burger #Promo;Promoções Ifood;Y;other;N;N;N;Único:49.9;
24151355;2 Smashs #Promo;Promoções Ifood;Y;other;N;N;N;Único:51.9;
24151365;Dupla Delícia | 02 Burgers 130g #Promo;Promoções Ifood;Y;other;N;N;N;Único:56.9;
24151375;02 Ultra Egg & Bacon + Bebida 1l;Promoções Ifood;Y;other;N;N;N;Único:79.9;
24151384;Burger + Bebida No Precinho #Promo;Promoções Ifood;Y;other;N;N;N;Único:34.9;
24151394;Monte Seu Gcombo | Burger + Batata + Bebida;Promoções Ifood;Y;other;N;N;N;Único:42.9;
24151400;Compre 2 Burgers E Leve o 3º Com 25%Off;Promoções Ifood;Y;other;N;N;N;Único:59.9;
24151403;Combo Casal | 2 Burgers 130g + 01 Batata Frita + 02 Bebidas;Promoções Ifood;Y;other;N;N;N;Único:77.9;
24151406;Combo Casal | 2 Burgers 130g + 01 Batata Frita + 02 Bebidas - CÓPIA;Promoções Ifood;Y;other;N;N;N;Único:77.9;
24151409;3 Smash + Entrada + Bebida;Promoções Ifood;Y;other;N;N;N;Único:88.9;
24151412;Ultra Egg & Bacon + Batata + Bebida;Promoções Ifood;Y;other;N;N;N;Único:51.9;
24151415; 2 Smash Ultra Burguer + 2 Bebidas #Promo;Promoções Ifood;Y;other;N;N;N;Único:62.9;
24151451;S - Fanta Laranja de 1l;S - Bebidas;N;other;N;N;N;Único:11;
24151454;S - Água Mineral;S - Bebidas;Y;other;N;N;N;Único:5;
24213742;Ge Rib por R$29,90;Burger do Dia;N;other;Y;Y;N;Único:29.9;Smash burger de 130g (duas carnes, 65g cada), queijo mussarela, costela bovina desfiada, cebola caramelizada e maionese no pão brioche de fermentação natural.
24213949;S - Ge Rib por 29,90;S - Burger do Dia;N;other;N;N;N;Único:29.9;
24269285;Ge Amazônico por R$26,91;Burger do Dia;N;other;Y;Y;N;Único:39;A incrível combinação do nosso Smash burger 130g ( duas carnes, 65g cada), queijo coalho, geleia de cupuaçu, bacon em cubos, e maionese levemente apimentada no pão brioche de fermentação natural.
24269446;S - Ge Amazônico por 26,91;S - Burger do Dia;N;other;N;N;N;Único:26.91;A incrível combinação do nosso Smash burger 130g ( duas carnes, 65g cada), queijo coalho, geleia de cupuaçu, bacon em cubos, e maionese levemente apimentada no pão brioche de fermentação natural.
24275044;Batata Simples - Pequena;Entradas;Y;other;Y;N;N;Único:8;
24305480;Ge Onion por 29,90;Burger do Dia;N;other;Y;Y;N;Único:29.9;Smash burger 130g ( duas carnes, 65g cada), duas fatias de queijo cheddar, onion rings, fatias de bacon e molho barbecue no pão brioche de fermentação natural.
24305487;S - Ge Onion por 29,90;S - Burger do Dia;N;other;N;N;N;Único:29.9;
24305854;Adicionais;Complementos;Y;other;Y;N;N;Único:0;
24311684;S - Cerveja Heineken;S - Bebidas;Y;other;N;N;N;Único:12;
24340398;HAPPY HOUR! Hambúrguer + Batata Frita Grátis;Promoção do Dia;N;other;Y;Y;N;Único:0;
